TP ,item,"{""en"": ""C&S PANTS"", ""ko:"": ""C&S PANTS""}"
TS ,item,"{""en"": ""C&S T-SHIRTS"", ""ko:"": ""C&S T-SHIRTS""}"
UW ,item,"{""en"": ""UNDERWEAR"", ""ko:"": ""UNDERWEAR""}"
VT ,item,"{""en"": ""WOVEN VEST"", ""ko:"": ""WOVEN VEST""}"
XX ,item,"{""en"": ""Sample Cloth"", ""ko:"": ""Sample Cloth""}"
Y1 ,item,"{""en"": ""쇼핑백"", ""ko:"": ""쇼핑백""}"
Y2 ,item,"{""en"": ""옷걸이"", ""ko:"": ""옷걸이""}"
Y3 ,item,"{""en"": ""원/부폐기"", ""ko:"": ""원/부폐기""}"
Y4 ,item,"{""en"": ""원/부매각"", ""ko:"": ""원/부매각""}"
Y5 ,item,"{""en"": ""사은품"", ""ko:"": ""사은품""}"
Z0 ,item,"{""en"": ""EVENT(행사)"", ""ko:"": ""EVENT(행사)""}"
Z1 ,item,"{""en"": ""기획"", ""ko:"": ""기획""}"
Z2 ,item,"{""en"": ""기획1"", ""ko:"": ""기획1""}"
Z3 ,item,"{""en"": ""기획2"", ""ko:"": ""기획2""}"
Z4 ,item,"{""en"": ""기획3"", ""ko:"": ""기획3""}"
Z5 ,item,"{""en"": ""기획4"", ""ko:"": ""기획4""}"
Z6 ,item,"{""en"": ""기획5"", ""ko:"": ""기획5""}"
Z7 ,item,"{""en"": ""기획6"", ""ko:"": ""기획6""}"
16,year,"{""en"": ""2016""}"
17,year,"{""en"": ""2017""}"
18,year,"{""en"": ""2018""}"
19,year,"{""en"": ""2019""}"
20,year,"{""en"": ""2020""}"
21,year,"{""en"": ""2021""}"
22,year,"{""en"": ""2022""}"
1,season,"{""en"": ""SPRING""}"
2,season,"{""en"": ""SUMMER""}"
3,season,"{""en"": ""FALL""}"
4,season,"{""en"": ""WINTER""}"
5,season,"{""en"": ""RUNNING""}"
T,brand,"{""en"": ""TBJ""}"
N,brand,"{""en"": ""NBA""}"
O,brand,"{""en"": ""ANDEW""}"
B,brand,"{""en"": ""BUCKAROO""}"
L,brand,"{""en"": ""LPGA""}"
P,division,"{""en"": ""상품"", ""ko:"": ""상품""}"
M,division,"{""en"": ""제품"", ""ko:"": ""제품""}"
