attribute_name,raw_value,display_value,locale,visual
color,57,MELANGE KHAKI,en,"{""swatch"":""#3f7d3a"",""family"":""Green""}"
color,57,멜란지 카키,ko,"{""swatch"":""#3f7d3a"",""family"":""Green""}"
color,58,D/KHAKI,en,"{""swatch"":""#3f7d3a"",""family"":""Green""}"
color,58,다크 카키,ko,"{""swatch"":""#3f7d3a"",""family"":""Green""}"
color,59,HUNTER,en,"{""swatch"":""#3f7d3a"",""family"":""Green""}"
color,59,헌터,ko,"{""swatch"":""#3f7d3a"",""family"":""Green""}"
color,60,L/BROWN,en,"{""swatch"":""#6b4423"",""family"":""Brown""}"
color,60,라이트 브라운,ko,"{""swatch"":""#6b4423"",""family"":""Brown""}"
color,61,BROWN,en,"{""swatch"":""#6b4423"",""family"":""Brown""}"
color,61,브라운,ko,"{""swatch"":""#6b4423"",""family"":""Brown""}"
color,62,MELANGE BROWN,en,"{""swatch"":""#6b4423"",""family"":""Brown""}"
color,62,멜란지 브라운,ko,"{""swatch"":""#6b4423"",""family"":""Brown""}"
color,63,D/BROWN,en,"{""swatch"":""#6b4423"",""family"":""Brown""}"
color,63,다크 브라운,ko,"{""swatch"":""#6b4423"",""family"":""Brown""}"
color,64,KHAKI BROWN,en,"{""swatch"":""#6b4423"",""family"":""Brown""}"
color,64,카키 브라운,ko,"{""swatch"":""#6b4423"",""family"":""Brown""}"
color,65,CHOCOLATE,en,"{""swatch"":""#6b4423"",""family"":""Brown""}"
color,65,초콜릿,ko,"{""swatch"":""#6b4423"",""family"":""Brown""}"
color,66,BURGUNDY,en,"{""swatch"":""#c0392b"",""family"":""Red""}"
color,66,버건디,ko,"{""swatch"":""#c0392b"",""family"":""Red""}"
color,68,TURKY GREEN,en,"{""swatch"":""#3f7d3a"",""family"":""Green""}"
color,68,터키 그린,ko,"{""swatch"":""#3f7d3a"",""family"":""Green""}"
color,69,PURPLE,en,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,69,퍼플,ko,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,70,L/PURPLE,en,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,70,라이트 퍼플,ko,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,71,PURPLE BLUE,en,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,71,퍼플,ko,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,72,MELANGE PURPLE,en,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,72,멜란지 퍼플,ko,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,73,D/PURPLE,en,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,73,다크 퍼플,ko,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,74,L/VIOLET,en,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,74,라이트 바이올렛,ko,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,75,VIOLET,en,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,75,바이올렛,ko,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
color,76,MELANGE VIOLET,en,"{""swatch"":""#7d3ca8"",""family"":""Purple""}"
