id,personSessionId,zoneCode,zoneName,firstLook,lastLook,firstDwell,lastDwell,viewTimeSeconds,dwellTimeSeconds,recordedAt
7233,ce26fc35-f54b-4812-9d7e-354bc8ee9d9f,GF-R1-U1,"Gondola R1 Front U1",2026-07-31T03:20:43.538Z,2026-07-31T03:22:11.138Z,2026-07-31T03:20:43.538Z,2026-07-31T03:22:11.138Z,87.6,87.6,2026-07-31T03:20:43.538Z
7207,7ca23509-6204-416c-9ba8-621a0a000caf,GB-R1-U2,"Gondola R1 Back U2",2026-07-31T03:20:36.286Z,2026-07-31T03:21:11.886Z,2026-07-31T03:20:36.286Z,2026-07-31T03:21:11.886Z,35.6,35.6,2026-07-31T03:20:36.286Z
7199,381f62b2-9792-4085-bb27-1859988b8175,GF-R5-U1,"Gondola R5 Front U1",2026-07-31T03:20:33.415Z,2026-07-31T03:21:04.215Z,2026-07-31T03:20:33.415Z,2026-07-31T03:21:04.215Z,30.8,30.8,2026-07-31T03:20:33.415Z
7200,6b6c9d80-511e-4a9d-8627-ff7919980105,PI-01,"Promo Island 1",2026-07-31T03:20:29.039Z,2026-07-31T03:21:05.239Z,2026-07-31T03:20:29.039Z,2026-07-31T03:21:05.239Z,36.2,36.2,2026-07-31T03:20:29.039Z
7222,52140e93-1a9a-4653-9041-ba160a711bf5,GF-R3-U2,"Gondola R3 Front U2",2026-07-31T03:20:28.696Z,2026-07-31T03:21:42.096Z,2026-07-31T03:20:28.696Z,2026-07-31T03:21:42.096Z,73.4,73.4,2026-07-31T03:20:28.696Z
7224,15f8430a-b246-4478-bb6f-6c544add9ff8,PW-06,"West Wall Bay 6",2026-07-31T03:20:27.097Z,2026-07-31T03:21:50.297Z,2026-07-31T03:20:27.097Z,2026-07-31T03:21:50.297Z,83.2,83.2,2026-07-31T03:20:27.097Z
7203,d153620b-2299-4c6b-be6a-a2755f2f2229,GF-R6-U5,"Gondola R6 Front U5",2026-07-31T03:20:26.060Z,2026-07-31T03:21:09.660Z,2026-07-31T03:20:26.060Z,2026-07-31T03:21:09.660Z,43.6,43.6,2026-07-31T03:20:26.060Z
7221,9744e314-af7c-4ad9-99c4-f629536e5ca3,GB-R3-U2,"Gondola R3 Back U2",2026-07-31T03:20:25.372Z,2026-07-31T03:21:40.572Z,2026-07-31T03:20:25.372Z,2026-07-31T03:21:40.572Z,75.2,75.2,2026-07-31T03:20:25.372Z
7218,43877932-b778-4cdb-bee1-354f77b763aa,GF-R5-U5,"Gondola R5 Front U5",2026-07-31T03:20:22.741Z,2026-07-31T03:21:32.141Z,2026-07-31T03:20:22.741Z,2026-07-31T03:21:32.141Z,69.4,69.4,2026-07-31T03:20:22.741Z
7213,878d1f12-eb68-4fe4-9b5b-994d75a180c4,GF-R1-U6,"Gondola R1 Front U6",2026-07-31T03:20:22.683Z,2026-07-31T03:21:22.883Z,2026-07-31T03:20:22.683Z,2026-07-31T03:21:22.883Z,60.2,60.2,2026-07-31T03:20:22.683Z
7209,d2b21539-9898-4ff2-b56e-eef644afad74,GB-R2-U5,"Gondola R2 Back U5",2026-07-31T03:20:22.372Z,2026-07-31T03:21:13.372Z,2026-07-31T03:20:22.372Z,2026-07-31T03:21:13.372Z,51.0,51.0,2026-07-31T03:20:22.372Z
