item_cd,qty,orders,name,name_kr
5728893,5,1,"TS RUN 900 M LIGHT MKTG F20A SS26, M","TS RUN 900 M LIGHT MKTG F20A SS26, M"
5728895,5,1,"TS RUN 900 M LIGHT MKTG F20A SS26, XL","TS RUN 900 M LIGHT MKTG F20A SS26, XL"
2955012,5,3,"Pantalon 120 H BLACK, XL / W37 L34.","Pantalon 120 H BLACK, XL / W37 L34."
2669359,5,2,"HEADBAND TH 100  NAVY, UNIQUE","HEADBAND TH 100  NAVY, UNIQUE"
5512608,5,2,"SKIRT 2IN1 RUN 500 W WHI, UK 4-6 - EU XS","SKIRT 2IN1 RUN 500 W WHI, UK 4-6 - EU XS"
4702496,5,2,"TS RUN 500 M ORANGE D03A, 2XL","TS RUN 500 M ORANGE D03A, 2XL"
4717735,5,2,"WIND JACKET WHITE, L","WIND JACKET WHITE, L"
5100525,5,1,"ANTI UV HELIUM 100 JKT W, UK 4-6 / EU XS","ANTI UV HELIUM 100 JKT W, UK 4-6 / EU XS"
5100529,5,1,"ANTI UV HELIUM 100 JKT W, UK 16 / EU XL","ANTI UV HELIUM 100 JKT W, UK 16 / EU XL"
5115965,5,1,"ANTI UV HELIUM 500 JKT KAKI M, S","ANTI UV HELIUM 500 JKT KAKI M, S"
5115969,5,1,"ANTI UV HELIUM 500 JKT KAKI M, 2XL","ANTI UV HELIUM 500 JKT KAKI M, 2XL"
5116165,5,1,"ANTI UV HELIUM 900 JKT Black M, S","ANTI UV HELIUM 900 JKT Black M, S"
5304557,4,4,"JACKET RUN 500 W, UK 4-6 / EU XS [short]","JACKET RUN 500 W, UK 4-6 / EU XS [short]"
4049532,4,4,"GOGGLES 100 XBASE JUNIOR BLUE YELLOW, S","GOGGLES 100 XBASE JUNIOR BLUE YELLOW, S"
5104632,4,4,"TS CARE ECO BLUE D16A / G17C, L","TS CARE ECO BLUE D16A / G17C, L"
4170011,4,4,TROUSERS MT500 DARK GRE UK8 / FR38 (L29),TROUSERS MT500 DARK GRE UK8 / FR38 (L29)
4864017,4,4,"TROUSER WARM SH500 M, UK 6 / FR 36 (L28)","TROUSER WARM SH500 M, UK 6 / FR 36 (L28)"
5145114,4,4,"PANTS REGULAR NH500, UK 10 / FR 40 (L29)","PANTS REGULAR NH500, UK 10 / FR 40 (L29)"
5405103,4,3,"1 TREK. POLE MT500 A.SEAS.V2 Re, No Size","1 TREK. POLE MT500 A.SEAS.V2 Re, No Size"
2837645,4,4,"MERINO RESIST HOODED MIDLAYER M - BLU, L","MERINO RESIST HOODED MIDLAYER M - BLU, L"
2837646,4,4,"MERINO RESIST HOODED MIDLAYER M - BLU, M","MERINO RESIST HOODED MIDLAYER M - BLU, M"
2837648,4,4,"MERINO RESIST HOODED MIDLAYER M - BL, XL","MERINO RESIST HOODED MIDLAYER M - BL, XL"
4756880,4,4,"JACKET NH500 DDY BLACK MA, S (Chest 35\"")","JACKET NH500 DDY BLACK MA, S (Chest 35\"")"
5245214,4,4,"CN TRAVEL 500 3IN1 DOWN White grey, XL .","CN TRAVEL 500 3IN1 DOWN White grey, XL ."
