attribute_name,raw_value,display_value,locale,visual
color,Fushia,Pink,en,"{""swatch"":""#e84d8a""}"
color,Fushia,Rose,fr-FR,"{""swatch"":""#e84d8a""}"
color,Fushia,핑크,ko-KR,"{""swatch"":""#e84d8a""}"
color,Galaxy Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Galaxy Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Galaxy Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Golden Brown,Brown,en,"{""swatch"":""#6b4423""}"
color,Golden Brown,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Golden Brown,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Golden Chestnut,Brown,en,"{""swatch"":""#6b4423""}"
color,Golden Chestnut,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Golden Chestnut,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Golden Olive Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Golden Olive Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Golden Olive Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Granite,Gray,en,"{""swatch"":""#808080""}"
color,Granite,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Granite,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Granite Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Granite Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Granite Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Graphite Black,Black,en,"{""swatch"":""#1a1a1a""}"
color,Graphite Black,Noir,fr-FR,"{""swatch"":""#1a1a1a""}"
color,Graphite Black,블랙,ko-KR,"{""swatch"":""#1a1a1a""}"
color,Graphite Grey,Gray,en,"{""swatch"":""#808080""}"
color,Graphite Grey,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Graphite Grey,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Gray,Gray,en,"{""swatch"":""#808080""}"
color,Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Gray Blue,Gray,en,"{""swatch"":""#808080""}"
color,Gray Blue,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Gray Blue,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Grey Pink,Gray,en,"{""swatch"":""#808080""}"
color,Grey Pink,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Grey Pink,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Hazelnut,Brown,en,"{""swatch"":""#6b4423""}"
color,Hazelnut,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Hazelnut,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Ice Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Ice Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Ice Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Inkpot Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Inkpot Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Inkpot Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Khaki Brown,Brown,en,"{""swatch"":""#6b4423""}"
color,Khaki Brown,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Khaki Brown,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Khaki Gray,Gray,en,"{""swatch"":""#808080""}"
color,Khaki Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Khaki Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Laurel Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Laurel Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Laurel Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Light Gray,Gray,en,"{""swatch"":""#808080""}"
color,Light Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Light Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Light Gray Blue,Gray,en,"{""swatch"":""#808080""}"
color,Light Gray Blue,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Light Gray Blue,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Light Jade,Green,en,"{""swatch"":""#3f7d3a""}"
color,Light Jade,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Light Jade,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Light Khaki,Green,en,"{""swatch"":""#3f7d3a""}"
color,Light Khaki,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Light Khaki,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Lime Yellow,Yellow,en,"{""swatch"":""#f2c200""}"
color,Lime Yellow,Jaune,fr-FR,"{""swatch"":""#f2c200""}"
color,Lime Yellow,옐로우,ko-KR,"{""swatch"":""#f2c200""}"
color,Linen,Beige,en,"{""swatch"":""#d9c6a5""}"
color,Linen,Beige,fr-FR,"{""swatch"":""#d9c6a5""}"
color,Linen,베이지,ko-KR,"{""swatch"":""#d9c6a5""}"
color,Lunar Beige,Beige,en,"{""swatch"":""#d9c6a5""}"
color,Lunar Beige,Beige,fr-FR,"{""swatch"":""#d9c6a5""}"
color,Lunar Beige,베이지,ko-KR,"{""swatch"":""#d9c6a5""}"
color,Lunar Gray,Gray,en,"{""swatch"":""#808080""}"
color,Lunar Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Lunar Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Magnolia,White,en,"{""swatch"":""#f5f5f5""}"
color,Magnolia,Blanc,fr-FR,"{""swatch"":""#f5f5f5""}"
color,Magnolia,화이트,ko-KR,"{""swatch"":""#f5f5f5""}"
color,Mahogany,Brown,en,"{""swatch"":""#6b4423""}"
color,Mahogany,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Mahogany,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Mauve,Purple,en,"{""swatch"":""#7d3ca8""}"
color,Mauve,Violet,fr-FR,"{""swatch"":""#7d3ca8""}"
color,Mauve,퍼플,ko-KR,"{""swatch"":""#7d3ca8""}"
color,Midnight Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Midnight Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Midnight Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Mint Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Mint Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Mint Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Navy Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Navy Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Navy Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,No Dye,Unspecified,en,"{""swatch"":""#cccccc""}"
color,No Dye,Indéfini,fr-FR,"{""swatch"":""#cccccc""}"
color,No Dye,미지정,ko-KR,"{""swatch"":""#cccccc""}"
